"time","n","der(n)"
0	,2,1142.4342720000002
1e-4	,2.1175687768499296,1209.4899705266332
2e-4	,2.2420341797231766,1280.4671300876182
3e-4	,2.3738000777425,1355.5939367738722
4e-4	,2.513299214579307,1435.1147412433804
5e-4	,2.6609822187124346,1519.283754692618
6e-4	,2.817326389710081,1608.3700161038705
7e-4	,2.982835066011113,1702.6569841579048
8e-4	,3.1580468601644753,1802.4477442325576
9e-4	,3.3435261896710964,1908.059553294832
0.001	,3.5398697212562844,2019.8274445443346
0.0011	,3.7477109857531743,2138.106778852658
0.0012	,3.96772116804942,2263.273608392006
0.0013	,4.200608825162805,2395.7244213776985
0.0014	,4.4471229841084705,2535.8777990447793
0.0015	,4.70805614279124,2684.1760036257724
0.0016	,4.984246008112705,2841.085833710808
0.0017	,5.276577601896562,3007.0996731714363
0.0018	,5.58598700603245,3182.737453054248
0.0019	,5.91346438478333,3368.548181760879
0.002	,6.260055895912441,3565.110822292595
0.0021	,6.626866307778874,3773.0355461802546
0.0022	,7.015063572207259,3992.9660681721825
0.0023	,7.42588258595364,4225.581488072153
0.0024	,7.860627550106914,4471.597303813493
0.0025	,8.320675081052247,4731.766813143906
0.0026	,8.807479654186755,5006.883791671747
0.0027	,9.322578243720375,5297.784665622062
0.0028	,9.867593218085368,5605.349645555551
0.0029	,10.4442360002376,5930.504235222779
0.003	,11.054313481599557,6274.222227551633
0.0031	,11.699733687357735,6637.528201032978
0.0032	,12.382509267244647,7021.4987093823565
0.0033	,13.104761725440632,7427.263800485531
0.0034	,13.868728878871877,7856.010249578959
0.0035	,14.67677169054753,8308.984323848084
0.0036	,15.531378382855832,8787.492896451879
0.0037	,16.435169198616077,9292.90479252948
0.0038	,17.390904920429982,9826.654087523659
0.0039	,18.401494982700722,10390.24300142959
0.004	,19.47000217078226,10985.242700595294
0.0041	,20.599647770353346,11613.294154945517
0.0042	,21.79382106062088,12276.11118905449
0.0043	,23.05608874242049,12975.48323607904
0.0044	,24.390200075058814,13713.27543368828
0.0045	,25.80009209591416,14491.42847879763
0.0046	,27.28989982711653,15311.960913123436
0.0047	,28.86396692021003,16176.97127107654
0.0048	,30.526850902697912,17088.636853284566
0.0049	,32.28332786994147,18049.211783463397
0.005	,34.13840287355675,19061.027724049887
0.0051	,36.09732145412844,20126.49467896068
0.0052	,38.165574397957904,21248.097532007712
0.0053	,40.34890087626137,22428.39113207894
0.0054	,42.65329808055979,23669.998263541416
0.0055	,45.0850329629282,24975.608013846813
0.0056	,47.650645520110615,26347.968806494482
0.0057	,50.35694873276391,27789.878872304504
0.0058	,53.21103594687208,29304.179865930248
0.0059	,56.220291642642366,30893.75131335093
0.006	,59.3923917643454,32561.498503992378
0.0061	,62.73529795292763,34310.33619973042
0.0062	,66.25726042632009,36143.17587000036
0.0063	,69.96682595999626,38062.91439594748
0.0064	,73.87283320507157,40072.414946055214
0.0065	,77.98440666012837,42174.48598511476
0.0066	,82.3109477814678,44371.85762566344
0.0067	,86.86210964187504,46667.14851388705
0.0068	,91.64779007208357,49062.841071646166
0.0069	,96.67813183109317,51561.25893737004
0.007	,101.96352726360722,54164.545110844134
0.0071	,107.5145719500338,56874.61362243002
0.0072	,113.34205000512901,59693.11608297854
0.0073	,119.45687411206086,62621.385536083944
0.0074	,125.87006131279853,65660.39743608423
0.0075	,132.59270456529185,68810.72802754655
0.0076	,139.63595218564356,72072.51596180873
0.0077	,147.01092391563057,75445.39457126759
0.0078	,154.7287007269744,78928.4590908775
0.0079	,162.80023581926164,82520.19858828913
